Depth CCSF-A (mcd),Al/Ti
6.74,0.682186704
6.76,0.74375146
6.78,0.724661373
6.8,0.631729668
6.82,0.738498789
6.84,0.737394958
6.86,0.738399462
6.88,0.712146423
6.9,0.676864627
6.92,0.670911261
6.94,0.695905124
6.96,0.622974695
6.98,0.658649603
7,0.7275951
7.02,0.667863555
7.04,0.640667025
7.06,0.746009715
7.08,0.989549839
7.1,0.847485573
7.12,0.930618401
7.14,0.809815951
7.16,0.666829268
7.28,0.707207207
7.3,0.714365881
7.32,0.757344301
7.34,0.713182286
7.36,0.650239234
7.38,0.810496795
7.4,0.851866561
7.42,0.830180748
7.44,0.648851383
7.46,0.820723684
7.48,0.709918902
7.5,0.719123506
7.52,0.59017341
7.54,0.660875608
7.56,0.763823065
7.58,0.658181818
7.6,0.654191617
7.62,0.817406143
7.64,0.855136084
7.66,1.035314384
7.68,0.723342939
7.7,0.803738318
7.72,0.733057424
7.74,0.568306011
7.76,0.499045194
7.78,0.837667455
7.8,1.028714107
7.82,1.205336427
7.84,0.914946325
7.86,0.958490566
7.88,1.022626932
7.9,0.868610055
7.92,0.961244019
7.99,0.868948247
8.01,1.073228346
8.03,0.973540856
8.05,0.934979424
8.14,0.714349978
8.16,0.589324619
8.18,0.64622804
8.2,0.682348043
8.22,0.522356281
8.24,0.504403523
8.26,0.695479384
8.28,0.678019982
8.3,0.681564246
8.32,0.782327586
8.34,1.142011834
8.36,0.856768559
8.38,0.771725032
8.4,0.366908213
8.42,0.676056338
8.44,0.62962963
8.46,0.6492891
8.48,0.616991643
8.5,0.648114075
8.52,0.627391742
8.54,0.645768025
8.56,0.569261214
8.58,0.609738885
8.6,0.543938422
8.62,0.705529647
8.64,0.761490683
8.66,0.797546012
8.68,0.838518519
8.7,0.720650636
8.72,0.704006541
8.74,0.89488117
8.76,0.770387507
8.78,0.795454545
8.8,0.678222656
8.82,0.608409987
8.84,0.862754159
8.86,0.642505278
8.88,0.584465343
8.9,0.535818476
8.92,0.574128381
8.94,0.65865663
8.96,0.743365253
8.98,0.67773238
9,0.73815721
9.02,0.842988808
9.04,0.766500829
9.06,0.787061995
9.08,0.807920792
9.1,0.697097625
9.12,0.73853211
9.14,0.689479638
9.16,0.630724638
9.18,0.613445378
9.2,0.80904908
9.22,0.924801157
9.24,0.918660287
9.26,0.894882434
9.28,1.048364154
9.3,0.970226537
9.32,0.843075303
9.34,0.736869207
9.36,0.733809281
9.38,0.741027057
9.4,0.825386997
9.42,0.700329308
9.44,0.768132496
9.46,0.679628555
9.48,0.690857143
9.5,0.698353691
9.52,0.876318313
9.54,0.871034199
9.64,0.752234994
9.66,0.630299252
9.68,0.720054757
9.7,0.603626943
9.72,0.639492754
9.74,0.596022727
9.76,0.698888889
9.78,0.676806084
9.8,0.615592853
9.82,0.891216761
9.84,0.888053467
9.86,0.81489842
9.88,1.018981019
9.9,0.648612946
9.92,0.640073082
9.94,0.570120482
9.96,0.651725684
9.98,0.709724951
10,0.648531012
10.02,0.746505478
10.04,0.714499253
10.06,0.610046982
10.08,0.584425904
10.1,0.739425587
10.12,0.700174317
10.14,0.793486306
10.16,0.672264042
10.18,0.69541183
10.2,0.752180605
10.22,0.765243902
10.24,0.795069337
10.26,0.822189922
10.28,0.843639576
10.3,0.696957065
10.32,0.672847682
10.34,0.736842105
10.36,0.67644363
10.38,0.551170262
10.4,0.626146789
10.42,0.646551724
10.44,0.773283161
10.46,0.767007402
10.48,0.762124002
10.5,0.764689731
10.52,0.765303765
10.54,0.674802417
10.56,0.663968741
10.58,0.613022568
10.6,0.742325581
10.62,0.677196019
10.64,0.692777213
10.66,0.739854318
10.68,0.859824047
10.7,0.802779262
10.72,0.730044346
10.74,0.71678487
10.76,0.895104895
10.78,0.716442049
10.8,0.765995261
10.82,0.744400527
10.84,0.691299166
10.86,0.709503885
10.88,0.643570953
10.9,0.664586583
10.92,0.791102515
10.94,0.599369085
10.96,0.749213836
10.98,0.633688165
11,0.766931056
11.02,0.700376294
11.04,0.555324675
11.15,0.903076923
11.2,0.869315673
11.25,1.082680592
11.3,1.007292616
11.35,1.005876068
11.4,1.043973941
11.45,1.100901917
11.5,0.949044586
11.55,0.799423394
11.6,0.888457054
11.65,0.948561465
11.7,1.054545455
11.75,0.96566077
11.8,0.908282379
11.85,0.896161108
11.9,0.940239044
11.95,0.880510441
12,0.972274732
12.05,0.99016595
12.1,0.944582814
12.15,0.939104478
12.2,0.929286977
12.25,1.015151515
12.3,1.009211284
12.35,0.990282277
12.4,1.128258603
12.45,0.904936015
12.5,0.873155416
12.55,0.87205583
12.65,0.751969653
12.7,0.702350814
12.75,0.8256
12.8,1.049045139
12.85,1.036870135
12.9,0.958519179
12.95,1.073921971
13,0.906697767
13.05,0.878663725
13.1,0.673317451
13.15,0.917843389
13.2,1.068641279
13.25,0.944067797
13.3,0.954853273
13.35,1.073489011
13.4,1.180327869
13.45,1.067572816
13.5,1.155807365
13.55,1.149575243
13.6,1.0923018
13.65,1.025780683
13.7,0.91251462
13.75,0.858706879
13.8,0.827666808
13.85,0.767158585
13.9,0.859858772
13.95,1.00531511
14,0.166622795
14.05,0.609042553
14.15,0.99275766
14.2,0.854248366
14.25,0.921052632
14.3,0.828520919
14.35,1.067684141
14.4,1.237573099
14.45,1.082379863
14.5,0.983202688
14.55,1.151120752
14.6,0.919015889
14.65,0.868937431
14.7,0.886175497
14.75,0.804330393
14.8,0.86542718
14.85,0.650528885
14.9,0.930797248
14.95,0.750521921
15,0.838413515
15.05,0.850769838
15.1,0.87654321
15.15,0.92040521
15.2,0.844095941
15.25,0.985588099
15.3,1.006233304
15.35,1.012919897
15.4,0.973339358
15.45,0.931972789
15.5,0.798776561
15.55,1.007023411
15.65,0.89827856
15.7,0.837136929
15.75,0.848339719
15.8,0.859571574
15.85,0.860215054
15.9,0.909365559
15.95,0.876868607
16,0.905644482
16.05,0.857508532
16.1,0.936613475
16.15,0.887401575
16.2,0.933283076
16.25,0.897163121
16.3,0.953046953
16.35,0.774079127
16.4,0.93833581
16.45,1.003311258
16.5,0.987242395
16.55,0.966093117
16.6,0.917348257
16.65,0.892053973
16.7,0.900163132
16.75,0.82407634
16.8,0.800741163
16.85,0.931337119
16.9,0.991638796
16.95,1.110846246
17,0.931144551
17.05,1.146993318
17.15,0.850322092
17.2,0.83093415
17.25,0.855412566
17.3,0.965222192
17.35,0.989361702
17.4,0.995850622
17.45,0.950905292
17.5,0.926405325
17.55,0.981415297
17.6,0.889467808
17.65,0.932555596
17.7,1.069758224
17.75,0.892747253
17.8,1.09929078
17.65,0.969230769
17.7,0.853756529
17.75,0.94208779
17.8,0.893560606
17.85,0.886909091
17.9,0.812374245
17.92,0.912678682
17.94,0.84079237
17.96,0.869620793
17.98,0.849474912
18,0.876205788
18.02,0.881812421
18.04,0.836261682
18.06,0.844472467
18.08,0.772606383
18.1,0.865671642
18.15,1.024329382
18.2,0.931668238
18.25,0.774945375
18.3,0.957465662
18.35,1.004343629
18.4,1.062583818
18.45,0.811569689
18.5,0.802377004
18.55,0.787449034
18.6,0.722367601
18.65,0.682830931
18.7,0.819705958
18.75,0.914519551
18.8,0.957963969
18.85,0.888354701
18.9,0.811424862
18.95,0.789654262
19,0.821110211
19.05,0.892436975
17.91,1.005260082
17.96,0.886013216
19.12,0.61608154
19.14,0.761865524
19.16,0.746994611
19.18,0.668645376
19.2,0.673693189
19.22,0.718347571
19.24,0.689202954
19.26,0.76568598
19.28,0.820942408
19.3,0.712387599
19.32,0.839471199
19.34,0.754720162
19.36,0.812152649
19.38,0.795680494
19.4,0.785601957
19.42,0.796119993
19.44,0.779680365
19.46,0.741003063
19.48,0.68238662
19.5,0.702765745
19.52,0.688296296
19.54,0.635412866
19.56,0.591250973
19.58,0.557132998
19.6,0.564844247
19.62,0.596656977
19.64,0.623190547
19.66,0.717622081
19.68,0.742610095
19.7,0.72557629
19.72,0.797546012
19.74,0.835205993
19.76,0.791385332
19.78,0.845978178
19.8,0.815641026
19.85,0.779217774
19.9,0.686545605
19.95,0.715496845
20,0.816322136
20.05,0.792718855
20.1,0.78559322
20.15,0.715882627
20.25,0.972554745
20.3,0.828381375
20.35,0.788952381
20.4,0.715091437
20.45,0.663394109
20.5,0.864253394
20.55,0.838442259
20.65,0.826775432
20.7,0.79898374
20.75,0.74765781
20.8,0.76249686
20.85,0.780974555
20.9,0.796384791
20.95,0.853612167
21,0.967964405
21.05,0.84113584
21.1,0.796194291
21.15,0.836686077
21.2,0.88465877
21.25,0.952193844
21.3,1.054364472
21.35,0.980232193
21.4,0.857726344
21.45,0.719447219
21.5,0.889636608
21.55,0.890379278
21.6,0.818181818
21.65,0.903269755
21.7,0.824575425
21.75,0.79577148
21.8,0.796903461
21.85,0.806659939
21.9,0.812127441
21.95,0.788516202
22,1.023483366
22.05,0.930526936
22.15,0.791145109
22.2,0.736236849
22.25,0.722193615
22.3,0.714522625
22.35,0.802216066
22.4,0.843397478
22.45,0.88021978
22.5,0.709023179
22.52,0.703730797
22.54,0.486153846
22.56,0.457044674
22.58,0.796060255
22.6,0.829331046
22.62,0.839853301
22.64,0.583406114
22.66,0.915912031
22.68,0.660320641
22.7,0.540084388
22.72,0.674157303
22.74,0.353517878
22.76,0.782347041
22.78,0.931046931
22.8,0.820729135
22.85,0.832342821
22.9,0.811190818
22.95,0.843918192
23,0.907137565
23.05,0.923132184
23.1,0.868037294
23.15,0.767883212
23.2,0.839139956
23.25,0.797017399
23.3,0.830225711
23.35,0.835998985
23.4,0.853607285
23.45,0.909503343
23.5,0.763636364
23.55,2.471830986
23.62,0.864714424
23.64,0.944640063
23.66,0.902326407
23.68,0.92690678
23.7,0.858164308
23.75,0.87542341
23.8,0.957502301
23.85,0.938399052
23.9,0.938726948
23.95,0.922355904
24,0.91495453
24.05,0.891650854
24.1,0.908000786
24.15,0.797434425
24.2,0.871536524
24.25,0.870407482
24.3,0.982428616
24.35,0.902821317
24.4,0.888229476
24.45,0.936871315
24.5,0.951186894
24.55,0.872243612
24.6,0.976060479
24.65,0.860022822
24.7,1.017672414
24.75,0.953058869
24.8,0.954027836
24.85,0.875877193
24.9,1.036948177
24.95,0.998649865
25,1.09929078
25.05,0.981080016
25.15,1.03649635
25.2,0.891419894
25.25,1.047763786
25.3,1.120260022
25.35,0.988824101
25.4,1.029484029
25.45,0.959565217
25.5,0.97943038
25.55,1.02680798
25.6,1.01615074
25.65,0.981493721
25.7,1.142377435
25.75,1.203927492
25.8,1.130291005
25.85,0.947576657
25.9,0.919769504
25.95,0.956347215
26,0.961089494
26.05,0.973650108
26.1,1.01802935
26.15,0.944891903
26.2,0.96869034
26.25,0.917979611
26.3,0.952780229
26.35,1.096332518
26.4,0.868234416
26.45,0.970537262
26.5,0.983295711
26.55,0.940525588
26.65,1.067849224
26.7,0.963892558
26.75,1.101641414
26.8,1.282768778
26.85,1.200424929
26.9,1.206819452
26.95,1.211316397
27,0.999061033
27.05,1.112420671
27.1,0.934480477
27.15,1.008333333
27.2,0.998897059
27.25,1.104089219
27.3,1.017985612
27.15,0.989176188
27.2,0.823660714
27.25,0.823060189
27.3,0.823405005
27.35,0.787543471
27.4,0.835654596
27.45,0.835083115
27.5,0.899408284
27.55,0.924299456
27.6,0.819546471
27.65,0.853242321
27.7,0.90327437
27.75,0.988631579
27.8,0.8109693
27.85,0.871181939
27.9,0.873195584
27.95,0.785793872
28,0.905248807
28.05,0.913769124
28.1,0.926128591
28.15,0.944424903
28.2,0.768964432
28.25,0.789368104
28.3,0.834637632
28.35,0.875759622
28.4,0.879504914
28.45,0.879922027
28.5,0.934650456
28.55,0.906284454
27.42,0.916854778
27.47,0.991646192
27.52,0.878802059
27.57,0.888751545
27.62,0.718798956
28.65,1.016672842
28.7,1.101461378
28.75,0.991480996
28.8,1.029868578
28.85,0.958274598
28.9,0.912249176
28.95,0.988235294
29,1.011572227
29.05,1.228829686
29.1,0.955125866
29.15,1.102276969
29.2,0.932895488
29.25,1.0381547
29.3,0.958645276
29.35,0.907733156
29.4,1.004737609
29.45,1.049754994
29.5,1.102243313
29.55,0.959047221
29.6,1.027904849
29.65,0.99573788
29.7,1.211076923
29.75,1.235087719
29.8,0.996003197
29.85,1.021704815
29.9,0.95232311
29.95,0.927994616
30,0.998909884
30.05,0.956801142
30.14,0.512513184
30.16,0.636799098
30.18,0.640894149
30.2,0.582288505
30.22,0.666535536
30.24,0.789579158
30.26,0.822386915
30.28,0.912846803
30.3,0.763311058
30.32,0.874049587
30.34,0.82447342
30.36,0.888863585
30.38,0.614934773
30.4,0.661817636
30.42,0.723704867
30.44,0.7438949
30.46,0.725770925
30.48,0.718167939
30.5,0.705865398
30.52,0.782945736
30.54,0.783392088
30.56,0.667515113
30.58,0.588595271
30.6,0.50770994
30.62,0.556694066
30.64,0.656127001
30.66,0.731711778
30.68,0.711323476
30.7,0.621531966
30.72,0.712786885
30.74,0.809279741
30.76,0.683337341
30.78,0.92366757
30.8,0.782448378
30.82,0.904484566
30.84,0.826836582
30.86,0.848205128
30.88,0.887523049
30.9,0.804884189
30.92,0.844365841
30.94,0.89717362
30.96,0.883960805
30.98,0.877192982
31,0.869782095
31.02,0.788162706
31.04,0.64414003
31.06,0.640604752
31.08,0.686952124
31.1,0.795027723
31.12,0.698069137
31.14,0.712450155
31.16,0.773397436
31.18,0.825843905
31.2,1.009746589
31.22,0.926600117
31.24,0.848638947
31.26,0.934341425
31.28,0.951204056
31.3,0.971438172
31.32,0.84878775
31.34,0.793633763
31.36,0.89402775
31.38,0.795221169
31.4,0.8514377
31.42,0.787297921
31.44,0.789761092
31.46,0.862745098
31.48,0.820531578
31.5,0.749272551
31.52,0.580291128
31.54,0.59591958
31.63,0.406909789
31.66,0.710053178
31.69,0.855046528
31.72,1.004852406
31.75,0.812355212
31.78,0.790346352
31.81,0.947007244
31.84,1.029121864
31.87,0.911695315
31.9,0.760253418
31.93,0.797468354
31.96,0.634600053
31.99,0.85620915
32.02,0.545010468
32.05,0.579315007
32.08,0.648557397
32.11,0.800561798
32.14,0.715635179
32.17,0.492512479
32.2,0.519515238
32.23,0.551184185
32.26,0.512896531
32.29,0.660008977
32.32,0.877994012
32.35,0.848832272
32.38,0.840926944
32.41,0.3997114
32.44,0.95201371
32.47,0.831009861
32.5,0.866320945
32.53,0.769715294
32.56,0.705231816
32.59,0.758923952
32.62,0.640617796
32.65,0.636603162
32.68,0.610340239
32.71,0.737087741
32.74,0.828008361
32.77,0.814717477
32.8,0.98742378
32.83,0.910272026
32.86,0.753974077
32.89,0.726944326
32.92,0.66918239
32.95,0.655215602
33.125,0.761904762
33.15,0.960813866
33.175,0.84818612
33.2,0.864323158
33.225,0.932179738
33.25,1.041966802
33.275,0.90097676
33.3,0.392602527
33.325,0.772138229
33.35,0.699289229
33.375,0.708
33.4,0.649359886
33.425,0.564097058
33.45,0.654958678
33.475,0.568298969
33.5,0.530484219
33.525,0.5842
33.55,0.741176471
33.575,0.706117909
33.6,0.820665829
33.625,0.766382821
33.65,0.754112554
33.675,0.74815756
33.7,0.79909022
33.725,0.911920764
33.75,0.680725971
33.775,0.528169014
33.8,0.599620493
33.825,0.639270488
33.85,0.600757576
33.875,0.623282967
33.9,0.728922092
33.925,0.733073279
33.95,0.75571124
33.975,0.687587169
34,0.692482916
34.025,0.563493312
34.05,0.609763101
34.075,0.559396877
34.1,0.657881225
34.125,0.751073883
34.15,0.842867487
34.175,0.740615298
34.2,0.817650615
34.225,0.83445794
34.25,0.823856457
34.275,0.753401361
34.3,0.818960752
34.325,0.635503705
34.35,0.549613318
34.375,0.536576673
34.4,0.578947368
34.425,0.733359208
34.45,0.78520101
34.475,0.685529954
34.5,0.67491363
34.525,0.725852919
34.55,0.589969929
34.625,0.463487016
34.65,0.621429607
34.675,0.660740741
34.7,0.758687259
34.725,0.694407457
34.75,0.608831331
34.775,0.583263128
34.8,0.640968787
34.825,0.596276905
34.85,0.559125336
34.875,0.545228319
34.9,0.578601499
34.925,0.552076003
34.95,0.557601918
34.975,0.529071478
35,0.559261838
35.025,0.563311371
35.05,0.549782293
35.075,0.558923462
35.1,0.601211411
35.125,0.639736553
35.15,0.603780648
35.175,0.645190471
35.2,0.638793868
35.225,0.636982908
35.25,0.566197183
35.275,0.559856916
35.3,0.554540842
35.325,0.563193621
35.35,0.594329716
35.375,0.645512092
35.4,0.658324644
35.425,0.701509017
35.45,0.775140647
35.475,0.733465709
35.5,0.622203005
35.525,0.59180607
35.55,0.612189405
35.575,0.642114024
35.6,0.615352305
35.625,0.610209501
35.65,0.645499182
35.675,0.613624211
35.7,0.591660446
35.725,0.582197355
35.75,0.586504698
35.775,0.655660377
35.8,0.695094446
35.825,0.727114625
35.85,0.612566777
35.875,0.655229207
35.9,0.562286606
35.925,0.609287257
35.95,0.558474966
35.975,0.523958421
36,0.599868594
36.025,0.586981734
36.05,0.614265111
36.135,0.37186964
36.16,0.679943101
36.185,0.696851786
36.21,0.683367213
36.235,0.623512104
36.26,0.604078265
36.285,0.670662021
36.31,0.609789823
36.335,0.680298604
36.36,0.720200182
36.385,0.692512821
36.41,0.763811563
36.435,0.690353748
36.46,0.641583149
36.485,0.755555556
36.51,0.7933586
36.535,0.664262585
36.56,0.854865182
36.585,0.810059172
36.61,0.863130188
36.635,0.858335265
36.625,0.54469234
36.65,0.605711654
36.675,0.617378049
36.7,0.624789124
36.725,0.609983544
36.75,0.677658143
36.775,0.643238003
36.8,0.621273713
36.825,0.660390123
36.85,0.623331985
36.875,0.606941839
36.9,0.583491102
36.925,0.632809773
36.95,0.643202853
36.975,0.601209746
37,0.62559986
37.025,0.617278655
37.05,0.635277524
37.075,0.645071627
37.1,0.605659472
37.125,0.635805041
37.15,0.601282425
37.175,0.580632935
37.2,0.612751256
37.225,0.628203809
37.25,0.629988294
37.275,0.627020555
37.3,0.61649968
37.325,0.628917516
37.35,0.653699674
37.375,0.586405717
37.4,0.625910098
37.425,0.589218524
37.45,0.636069869
37.475,0.611716172
37.5,0.617393598
37.525,0.61168717
37.55,0.629832034
37.575,0.615223829
37.6,0.62100053
37.625,0.661182323
37.65,0.619086833
37.675,0.627844164
37.7,0.63404176
37.725,0.608890578
37.75,0.600997151
37.775,0.595147737
37.8,0.657050576
37.825,0.646643676
37.85,0.682829745
37.875,0.745326173
37.9,0.712904232
37.925,0.751839465
37.95,0.707990837
37.975,0.722888524
38,0.660747767
38.025,0.646661471
38.05,0.646114557
36.705,0.747208575
36.73,0.76720286
36.755,0.849596022
36.78,0.760070053
36.805,0.571264807
36.83,0.643553795
36.855,0.688057387
36.88,0.723121259
36.905,0.650756694
36.93,0.697999166
38.125,0.476591968
38.15,0.609490172
38.175,0.653694497
38.2,0.67561484
38.225,0.672935819
38.25,0.703796562
38.275,0.673455196
38.3,0.721138211
38.325,0.685457129
38.35,0.626642122
38.375,0.646185764
38.4,0.622989826
38.425,0.651511507
38.45,0.606682614
38.475,0.612969184
38.5,0.62304389
38.525,0.604893177
38.55,0.61044426
38.575,0.609390843
38.6,0.61362402
38.625,0.590296804
38.65,0.642501777
38.675,0.623158275
38.7,0.619702853
38.725,0.58404427
38.75,0.611289288
38.775,0.613521467
38.8,0.620474407
38.825,0.55282126
38.85,0.57586285
38.875,0.605393293
38.9,0.609482693
38.925,0.634303672
38.95,0.65936255
38.975,0.624306751
39,0.621553251
39.025,0.627553201
39.05,0.668903355
39.075,0.66811379
39.1,0.664059008
39.125,0.658439841
39.15,0.674900913
39.175,0.687302875
39.2,0.661285735
39.225,0.634552402
39.25,0.644054581
39.275,0.666232837
39.3,0.649390043
39.325,0.669980398
39.35,0.607784818
39.375,0.630642779
39.4,0.668935415
39.425,0.614371489
39.45,0.656532891
39.475,0.649385276
39.5,0.617391304
39.525,0.651477833
39.55,0.735160835
39.655,0.657223282
39.68,0.656519692
39.705,0.636665856
39.73,0.668936022
39.755,0.657108413
39.78,0.396140173
39.805,0.682316769
39.83,0.695186226
39.855,0.692595911
39.88,0.702315757
39.905,0.670961942
39.93,0.605730766
39.955,0.588606596
39.98,0.633843754
40.005,0.644127077
40.03,0.610150406
40.055,0.585419679
40.08,0.60609879
40.105,0.606980835
40.13,0.605930938
40.155,0.577147954
40.18,0.561235549
40.205,0.596126884
40.23,0.605488851
40.255,0.594636364
40.28,0.632151491
40.305,0.591308204
40.33,0.646670549
40.355,0.608714867
40.38,0.640641711
40.405,0.674595948
40.43,0.601431579
40.455,0.610911767
40.48,0.607070334
40.505,0.621671169
40.53,0.605176574
40.555,0.596868515
40.58,0.629392971
40.605,0.597188647
40.63,0.608586831
40.655,0.612495172
40.68,0.59283287
40.705,0.569653786
40.73,0.635069279
40.755,0.601766989
40.78,0.582973403
40.805,0.589462518
40.83,0.59087038
40.855,0.60226045
40.88,0.602755454
40.905,0.621015725
40.93,0.679267807
40.955,0.604324043
40.98,0.662086114
41.005,0.628740936
41.03,0.666152569
41.055,0.673547065
41.08,0.685718128
41.185,0.591470386
41.21,0.532418677
41.235,0.566263857
41.26,0.560724622
41.285,0.633878913
41.31,0.659393939
41.335,0.587620358
41.36,0.779034483
41.385,0.665535628
41.41,0.763311788
41.435,0.85540627
41.46,0.749857874
41.485,0.475596445
41.51,0.739275936
41.535,0.738496436
41.56,0.565177081
41.585,0.682789318
41.61,0.719354839
41.635,0.698484131
41.66,0.574433945
41.685,0.594405594
41.71,0.57920044
41.735,0.563909774
